timestamp,ticker,order_size,avg_price,slippage,side
2025-04-03 15:03:00+00:00,SOUN,1000,8.12,0.005,buy
2025-04-03 15:03:00+00:00,SOUN,2000,8.12,0.005,buy
2025-04-03 15:03:00+00:00,SOUN,5000,8.1248,0.00979,buy
2025-04-03 15:04:00+00:00,SOUN,10,8.14,0.005,sell
2025-04-03 15:04:00+00:00,SOUN,50,8.14,0.005,sell
2025-04-03 15:04:00+00:00,SOUN,100,8.14,0.005,sell
2025-04-03 15:04:00+00:00,SOUN,200,8.14,0.005,sell
2025-04-03 15:04:00+00:00,SOUN,500,8.14,0.005,sell
2025-04-03 15:04:00+00:00,SOUN,1000,8.14,0.005,sell
2025-04-03 15:04:00+00:00,SOUN,2000,8.1377,0.007265,sell
2025-04-03 15:04:00+00:00,SOUN,5000,8.1331,0.011906,sell
2025-04-03 15:04:00+00:00,SOUN,10,8.15,0.005,buy
2025-04-03 15:04:00+00:00,SOUN,50,8.15,0.005,buy
2025-04-03 15:04:00+00:00,SOUN,100,8.15,0.005,buy
2025-04-03 15:04:00+00:00,SOUN,200,8.15,0.005,buy
2025-04-03 15:04:00+00:00,SOUN,500,8.15,0.005,buy
2025-04-03 15:04:00+00:00,SOUN,1000,8.15,0.005,buy
2025-04-03 15:04:00+00:00,SOUN,2000,8.1538,0.008775,buy
2025-04-03 15:04:00+00:00,SOUN,5000,8.1575,0.01251,buy
2025-04-03 15:05:00+00:00,SOUN,10,8.16,0.005,sell
2025-04-03 15:05:00+00:00,SOUN,50,8.16,0.005,sell
2025-04-03 15:05:00+00:00,SOUN,100,8.16,0.005,sell
2025-04-03 15:05:00+00:00,SOUN,200,8.16,0.005,sell
2025-04-03 15:05:00+00:00,SOUN,500,8.16,0.005,sell
2025-04-03 15:05:00+00:00,SOUN,1000,8.16,0.005,sell
2025-04-03 15:05:00+00:00,SOUN,2000,8.1577,0.00734,sell
2025-04-03 15:05:00+00:00,SOUN,5000,8.1531,0.011936,sell
2025-04-03 15:05:00+00:00,SOUN,10,8.17,0.005,buy
2025-04-03 15:05:00+00:00,SOUN,50,8.17,0.005,buy
2025-04-03 15:05:00+00:00,SOUN,100,8.17,0.005,buy
2025-04-03 15:05:00+00:00,SOUN,200,8.1747,0.00975,buy
2025-04-03 15:05:00+00:00,SOUN,500,8.1779,0.0129,buy
2025-04-03 15:05:00+00:00,SOUN,1000,8.179,0.01395,buy
2025-04-03 15:05:00+00:00,SOUN,2000,8.1795,0.014475,buy
2025-04-03 15:05:00+00:00,SOUN,5000,8.1799,0.014876,buy
2025-04-03 15:06:00+00:00,SOUN,10,8.13,0.005,sell
2025-04-03 15:06:00+00:00,SOUN,50,8.13,0.005,sell
2025-04-03 15:06:00+00:00,SOUN,100,8.13,0.005,sell
2025-04-03 15:06:00+00:00,SOUN,200,8.13,0.005,sell
2025-04-03 15:06:00+00:00,SOUN,500,8.13,0.005,sell
2025-04-03 15:06:00+00:00,SOUN,1000,8.13,0.005,sell
2025-04-03 15:06:00+00:00,SOUN,2000,8.13,0.005,sell
2025-04-03 15:06:00+00:00,SOUN,5000,8.1247,0.010258,sell
2025-04-03 15:06:00+00:00,SOUN,10,8.14,0.005,buy
2025-04-03 15:06:00+00:00,SOUN,50,8.14,0.005,buy
2025-04-03 15:06:00+00:00,SOUN,100,8.14,0.005,buy
2025-04-03 15:06:00+00:00,SOUN,200,8.14,0.005,buy
2025-04-03 15:06:00+00:00,SOUN,500,8.14,0.005,buy
2025-04-03 15:06:00+00:00,SOUN,1000,8.14,0.005,buy
2025-04-03 15:06:00+00:00,SOUN,2000,8.1424,0.00737,buy
2025-04-03 15:06:00+00:00,SOUN,5000,8.1469,0.011948,buy
2025-04-03 15:07:00+00:00,SOUN,10,8.11,0.005,sell
2025-04-03 15:07:00+00:00,SOUN,50,8.11,0.005,sell
2025-04-03 15:07:00+00:00,SOUN,100,8.11,0.005,sell
2025-04-03 15:07:00+00:00,SOUN,200,8.105,0.01,sell
2025-04-03 15:07:00+00:00,SOUN,500,8.102,0.013,sell
2025-04-03 15:07:00+00:00,SOUN,1000,8.101,0.014,sell
2025-04-03 15:07:00+00:00,SOUN,2000,8.1005,0.0145,sell
2025-04-03 15:07:00+00:00,SOUN,5000,8.0975,0.017542,sell
2025-04-03 15:07:00+00:00,SOUN,10,8.12,0.005,buy
2025-04-03 15:07:00+00:00,SOUN,50,8.12,0.005,buy
2025-04-03 15:07:00+00:00,SOUN,100,8.12,0.005,buy
2025-04-03 15:07:00+00:00,SOUN,200,8.12,0.005,buy
2025-04-03 15:07:00+00:00,SOUN,500,8.12,0.005,buy
2025-04-03 15:07:00+00:00,SOUN,1000,8.12,0.005,buy
2025-04-03 15:07:00+00:00,SOUN,2000,8.12,0.005,buy
2025-04-03 15:07:00+00:00,SOUN,5000,8.1248,0.0098,buy
2025-04-03 15:08:00+00:00,SOUN,10,8.09,0.005,sell
2025-04-03 15:08:00+00:00,SOUN,50,8.09,0.005,sell
2025-04-03 15:08:00+00:00,SOUN,100,8.09,0.005,sell
2025-04-03 15:08:00+00:00,SOUN,200,8.09,0.005,sell
2025-04-03 15:08:00+00:00,SOUN,500,8.09,0.005,sell
2025-04-03 15:08:00+00:00,SOUN,1000,8.09,0.005,sell
2025-04-03 15:08:00+00:00,SOUN,2000,8.0862,0.00876,sell
2025-04-03 15:08:00+00:00,SOUN,5000,8.0825,0.012504,sell
2025-04-03 15:08:00+00:00,SOUN,10,8.1,0.005,buy
2025-04-03 15:08:00+00:00,SOUN,50,8.1,0.005,buy
2025-04-03 15:08:00+00:00,SOUN,100,8.1,0.005,buy
2025-04-03 15:08:00+00:00,SOUN,200,8.1,0.005,buy
2025-04-03 15:08:00+00:00,SOUN,500,8.1,0.005,buy
2025-04-03 15:08:00+00:00,SOUN,1000,8.1,0.005,buy
2025-04-03 15:08:00+00:00,SOUN,2000,8.1013,0.006335,buy
2025-04-03 15:08:00+00:00,SOUN,5000,8.1065,0.011534,buy
2025-04-03 15:09:00+00:00,SOUN,10,8.09,0.005,sell
2025-04-03 15:09:00+00:00,SOUN,50,8.09,0.005,sell
2025-04-03 15:09:00+00:00,SOUN,100,8.09,0.005,sell
2025-04-03 15:09:00+00:00,SOUN,200,8.09,0.005,sell
2025-04-03 15:09:00+00:00,SOUN,500,8.09,0.005,sell
2025-04-03 15:09:00+00:00,SOUN,1000,8.09,0.005,sell
2025-04-03 15:09:00+00:00,SOUN,2000,8.085,0.01,sell
2025-04-03 15:09:00+00:00,SOUN,5000,8.082,0.013,sell
2025-04-03 15:09:00+00:00,SOUN,10,8.1,0.005,buy
2025-04-03 15:09:00+00:00,SOUN,50,8.1,0.005,buy
2025-04-03 15:09:00+00:00,SOUN,100,8.1,0.005,buy
2025-04-03 15:09:00+00:00,SOUN,200,8.1,0.005,buy
2025-04-03 15:09:00+00:00,SOUN,500,8.1,0.005,buy
2025-04-03 15:09:00+00:00,SOUN,1000,8.1005,0.00551,buy
2025-04-03 15:09:00+00:00,SOUN,2000,8.1053,0.010255,buy
2025-04-03 15:09:00+00:00,SOUN,5000,8.1081,0.013102,buy
2025-04-03 15:10:00+00:00,SOUN,10,8.09,0.005,sell
2025-04-03 15:10:00+00:00,SOUN,50,8.09,0.005,sell
2025-04-03 15:10:00+00:00,SOUN,100,8.09,0.005,sell
2025-04-03 15:10:00+00:00,SOUN,200,8.09,0.005,sell
2025-04-03 15:10:00+00:00,SOUN,500,8.09,0.005,sell
2025-04-03 15:10:00+00:00,SOUN,1000,8.09,0.005,sell
2025-04-03 15:10:00+00:00,SOUN,2000,8.0863,0.00869,sell
2025-04-03 15:10:00+00:00,SOUN,5000,8.0825,0.012476,sell
2025-04-03 15:10:00+00:00,SOUN,10,8.1,0.005,buy
2025-04-03 15:10:00+00:00,SOUN,50,8.1,0.005,buy
2025-04-03 15:10:00+00:00,SOUN,100,8.1,0.005,buy
2025-04-03 15:10:00+00:00,SOUN,200,8.1,0.005,buy
2025-04-03 15:10:00+00:00,SOUN,500,8.1,0.005,buy
2025-04-03 15:10:00+00:00,SOUN,1000,8.1,0.005,buy
2025-04-03 15:10:00+00:00,SOUN,2000,8.105,0.01,buy
2025-04-03 15:10:00+00:00,SOUN,5000,8.1081,0.013094,buy
2025-04-03 15:11:00+00:00,SOUN,10,8.1,0.005,sell
2025-04-03 15:11:00+00:00,SOUN,50,8.1,0.005,sell
2025-04-03 15:11:00+00:00,SOUN,100,8.1,0.005,sell
2025-04-03 15:11:00+00:00,SOUN,200,8.1,0.005,sell
2025-04-03 15:11:00+00:00,SOUN,500,8.1,0.005,sell
2025-04-03 15:11:00+00:00,SOUN,1000,8.1,0.005,sell
2025-04-03 15:11:00+00:00,SOUN,2000,8.1,0.005,sell
2025-04-03 15:11:00+00:00,SOUN,5000,8.1,0.005,sell
2025-04-03 15:11:00+00:00,SOUN,10,8.11,0.005,buy
2025-04-03 15:11:00+00:00,SOUN,50,8.11,0.005,buy
2025-04-03 15:11:00+00:00,SOUN,100,8.11,0.005,buy
2025-04-03 15:11:00+00:00,SOUN,200,8.11,0.005,buy
2025-04-03 15:11:00+00:00,SOUN,500,8.11,0.005,buy
2025-04-03 15:11:00+00:00,SOUN,1000,8.11,0.005,buy
2025-04-03 15:11:00+00:00,SOUN,2000,8.11,0.005,buy
2025-04-03 15:11:00+00:00,SOUN,5000,8.1145,0.009502,buy
2025-04-03 15:12:00+00:00,SOUN,10,8.16,0.005,sell
2025-04-03 15:12:00+00:00,SOUN,50,8.16,0.005,sell
2025-04-03 15:12:00+00:00,SOUN,100,8.16,0.005,sell
2025-04-03 15:12:00+00:00,SOUN,200,8.16,0.005,sell
2025-04-03 15:12:00+00:00,SOUN,500,8.16,0.005,sell
2025-04-03 15:12:00+00:00,SOUN,1000,8.159,0.006,sell
2025-04-03 15:12:00+00:00,SOUN,2000,8.1545,0.0105,sell
2025-04-03 15:12:00+00:00,SOUN,5000,8.1518,0.0132,sell
2025-04-03 15:12:00+00:00,SOUN,10,8.17,0.005,buy
2025-04-03 15:12:00+00:00,SOUN,50,8.17,0.005,buy
2025-04-03 15:12:00+00:00,SOUN,100,8.17,0.005,buy
2025-04-03 15:12:00+00:00,SOUN,200,8.17,0.005,buy
